id,number,title,office_marker_info,official_url,description,county,location_info,latitude,longitude,created_at,updated_at
11,11,Eureka,<p>CENTENNIAL MARKER No. 11</p><p>State historic preservation office</p>,http://nvshpo.org/historical-markers/11,"<p>“Eureka!” a miner is said to have exclaimed in September 1864 when he discovered rich ore here – and thus the town was named.  Eureka soon developed the first important lead-silver deposits in the nation, and during the furious boom of the 1880s, it had 16 smelters, over 100 saloons, a population of 10,000 and a railroad – the colorful Eureka and Palisade – that connected with the transcontinental line 90 miles to the north.</p><p>Production began to fall off in 1883, and by 1891, the smelters closed, their sites marked by the huge slag piles at both ends of Main Street.</p>",Eureka," Central Region, Eureka County. Located on U.S. Highway 50 in Eureka, Nevada.",39.49991,-115.95822,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
12,12,Nevada's Birthplace,<p>NEVADA CENTENNIAL MARKER No. 12</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/12,"<p>Carson Valley is the Birthplace of Nevada.  By 1851, people settled at a place they called Mormon Station, renamed Genoa in 1856.  With the early establishment of a post office and local government, the community can lay claim to the title of “Nevada’s first town.”</p><p>Thousands of emigrants moved over the old road skirting the west bank of the Carson River as they prepared to cross the Sierra, feeding their livestock on grass cut along the river.  At Genoa; at Mottsville, settled in 1852; and at Sheridan, settled by Moses Job about ’54; emigrants stopped to enjoy produce of the region’s first gardens.  Pony Express riders used this route in 1860, switching a year later to the shorter Daggett Trail, now Kingsbury Grade.</p>",Douglas," Carson River Basin, Douglas County. Located at the junction of U.S. Highway 395 and State Route 88 just north of Minden, Nevada.",39.00506,-119.76048,2014-11-01 19:06:38 UTC,2014-11-06 14:58:35 UTC
13,13,The Comstock Lode,<p>NEVADA CENTENNIAL MARKER NO. 13</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/13,"<p>Near this spot was the heart of the Comstock Lode, the fabulous 2 ½ mile deposit of high-grade ore that produced nearly $400,000.00 in silver and gold.  After the discovery in 1859, Virginia City boomed for 20 years, helped bring Nevada into the union in 1864 and to build San Francisco.</p><p>Several major mines operated during the boom.  Their sites are today marked by large yellow dumps, several of which are visible from here – the Sierra Nevada a mile to your left, the Union, Ophir, Con Virginia and, on the high hill to the southeast, the combination.  The Lode was worked from both ends, north up Gold Canyon and south from the Sierra Nevada Utah mines.</p>",Storey," Carson River Basin, Storey County. Located along State Route 341 at Virginia City.",39.18582,-119.38505,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
14,14,Goldfield,<p>NEVADA CENTENNIAL MARKER No. 14</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/14,"<p>For a twenty-year period prior to 1900, mining in Nevada fell into a slump that cast the entire state into a bleak depression and caused the loss of a third of the population.</p><p>The picture brightened overnight following the spectacular strikes in Tonopah and, shortly afterwards, in Goldfield.  Gold ore was discovered here in December 1902 by two Nevada-born prospectors, Harry Stimler and Billy Marsh.  From 1904 to 1918, Goldfield boomed.  The city had a railroad that connected to Las Vegas and a peak population of 20,000, making it Nevada’s largest community at the time.  Between 1903 and 1940 a total of $86,765,044 in precious metals was produced here.</p>",Esmeralda," Central Region, Esmeralda County Located on U.S. Highway 95 in Goldfield, Nevada.",37.70752,-117.23377,2014-11-01 19:06:38 UTC,2014-11-06 14:58:35 UTC
15,15,Tonopah,<p>NEVADA CENTENNIAL MARKER No. 15</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/15,"<p>Jim Butler, District Attorney of Nye County, is credited with the turn-of-century discovery, which ended a twenty-year slump in Nevada’s economy.  American Indians originally used the name Tonopah for a small spring in the nearby San Antonio Mountains, long before Butler camped in this area in May 1900.  Tonopah became the richest silver producer in the nation and replaced Belmont as the Nye County county seat in 1905.  The mines spawned a railroad, several huge mills, and a bustling population of approximately 10,000.</p><p>The mines faltered in the 1920s, but Tonopah achieved long-lasting fame because of the prominent financial and political leaders it produced.  Many camps and communities followed in the wake of Tonopah’s boom, most of which have become ghost towns.</p>",Nye," Central Region, Nye County. Located on U.S. Highway 95 in Tonopah, Nevada.",38.04017,-117.13744,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
16,16,Mineral County,<p>NEVADA CENTENNIAL MARKER No. 16</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/16,"",Mineral," Walker River Basin, Mineral County Located on U.S. Highway 95 at Walker Lake.",38.41422,-118.46245,2014-11-01 19:06:38 UTC,2014-11-06 14:58:35 UTC
17,17,Pershing County,<p>NEVADA CENTENNIAL MARKER No. 17</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/17,"<p>Here was a key point on Nevada’s earliest road, the famed Humboldt Trail that brought 165,000 immigrants west in the 1840s and 1850s.  Travelers named this rich valley the Big Meadows.  They stopped here for water and grass before continuing south to cross the dreaded Forty Mile Desert, the most difficult segment on the trail to California.</p><p>Mining began here in the 1850s.  George Lovelock, merchant, rancher and prospector, gave his name to the county seat. The coming of the railroad in 1869 brought new growth to the area.  Pershing County, established in 1919, was previously part of Humboldt County.</p>",Pershing," Humboldt River Basin, Pershing County Located at the Courthouse at Lovelock.",40.10489,-118.28359,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
18,18,Pyramid Lake,<p>HISTORICAL MARKER No. 18</p><p>PYRAMID LAKE TRIBAL COUNCIL</p>,http://nvshpo.org/historical-markers/18,"<p>KOOYOOE PANUNADU - Pyramid lake</p><p>America’s most beautiful desert lake is a remnant of ancient Lake Lahontan, which covered some 8,450 square miles in western Nevada during the Ice Age.  Caves and rock shelters along its shore have yielded evidence of Numu (Paiute) people living here for thousands of years</p><p>John C. Frémont came upon the lake on January 10, 1844 and named it for the pyramid-shaped island just off the east shore.  The Numu call the Pyramid formulation Wono.  The Pyramid Lake Indian Reservation was created in 1859.  The history of the Numu people living here has been one of contention with encroaching settlers. With the Numu victory in the first battle of Pyramid Lake, May 12, 1860, more European-American men died than in any prior engagement west of the Mississippi</p><p>Anaho Island, just to the south of the pyramid, was established as a national wildlife refuge in 1913 and is today one of the largest white pelican nesting grounds in North America.</p>",Washoe,"Truckee River Basin, Washoe CountyLocated on State Route 445, the Pyramid Lake Highway from Reno and Sparks, Nevada, overlooking the lake on its western side..",39.29329,-119.47685,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
19,19,Ragtown,<p>HISTORICAL MARKER No. 19</p><p>STATE HISTORIC PRESERVATION OFFICE</p><p>CHURCHILL COUNTY MUSEUM COMMITTEE</p>,http://nvshpo.org/historical-markers/19,"<p>Ragtown was never a town. Instead, it was the name of a most welcome oasis and gathering point.  This mecca on the banks of nearby Carson River received its name from the appearance of pioneer laundry spread on every handy bush around.</p><p>The Forty Mile Desert, immediately to the north, was the most dreaded portion of the California Emigrant Trail.  Ragtown was the first water stop after the desert.  To the thirst- crazed emigrants and their animals, no sight was more welcome than the trees lining the Carson River.</p><p>Accounts tell of the moment when the animals first picked up the scent of water—the lifted head, the quickened pace, and finally the mad, frenzied dash to the water’s edge.  Then, emigrants rested for the arduous crossing of the Sierra Nevada that lay ahead.</p><p>In 1854, Asa Kenyon located a trading post near Ragtown, offering goods and supplies to travelers during the 1850s and 1860s.  Ragtown was one of the most important sites on the Carson branch of the California trail.</p>",Churchill," Carson River Basin, Churchill County. Located along U.S. Highway 95 Alternate, one mile east of junction with U.S. Highway 50..",39.50559,-118.91932,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
20,20,Columbus,<p>STATE HISTORICAL MARKER No. 20</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/20,"<p>The remnants of Columbus are located on the edge of the Columbus salt marsh, five miles to the southwest.</p><p>The town was initially settled in 1865, when a quartz mill was erected at the site.  This was a favorable location for a mill, because it was the only spot for several miles around where water was in sufficient quantity for operation.</p><p>The full importance of Columbus was not recognized until 1871, when William Troop discovered borax in the locality.  Shortly thereafter, four borax companies were actively engaged in working the deposits on the marsh.</p><p>Columbus probably enjoyed its most prosperous time in about 1875, when the population was reported to have reached 1,000.  That year, the town had many kinds of business establishments, including a post office and a newspaper, The Borax Miner.</p><p>In 1881, about 100 people were left after the borax operations had practically ceased.  All mining and milling stopped entirely shortly after that time.</p>",Esmeralda," Central Region, Esmeralda County. Located on U.S. Highway 95, nine miles north of Coaldale, Nevada.",38.14944444444444,-117.94800000000001,2014-11-01 19:06:38 UTC,2014-11-06 14:58:36 UTC
21,21,The Humboldt Canal,<p>STATE HISTORICAL MARKER No. 21</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/21,"<p>The Humboldt Canal, sometimes termed the Old French Canal, coursed southwestward from Preble, near Golconda, toward Mill City.  The present highway crossed it at this point, from whence it ran southerly toward the Humboldt County Courthouse on Bridge and West Fifth Streets.</p><p>The canal was conceived in 1862 by Gintz and Joseph Ginaca.  The waterway, with a projected cost of $160,000, was to be sixty-six miles long, fifteen feet wide and three feet deep, and with a fall of thirty-five feet. Its primary purpose was to supply water for over forty stamp mills planned at and above Mill City, but it was also designed for barge traffic and some irrigation water supply.</p><p>Construction of the canal began in 1863.  Louis Lay, a French emigrant from California, excavated the first segment.  Winnemucca City founder Frank Baud, another Frenchman, worked on the project as a teamster</p><p>About $100,000, largely French capital, was expended in building the Humboldt Canal to the Winnemucca area.  Because of engineering errors and severe seepage problems between Winnemucca and Mill City, that section was never completed or used</p><p>Several portions of the old canal are still visible in the Golconda area, in various sections of Winnemucca, and at Rose Creek, south of the city.</p>",Humboldt," Humboldt River Basin, Humboldt County Located on I-80, East of Winnemucca, Nevada.",40.58557,-117.43362,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
22,22,Humboldt River,<p>HISTORICAL MARKER No. 22</p><p>STATE HISTORIC PRESERVATION OFFICE</p><p>NORTHEASTERN NEVADA MUSEUM COMMITTEE</p>,http://nvshpo.org/historical-markers/22,"<p>Peter Skene Ogden discovered the Humboldt River on November 9, 1828 during his fifth Snake Country expedition.  Entering Nevada near present-day Denio, Ogden came southward along the Quinn River and the little Humboldt River.  Emerging on the Humboldt main stem near this site, Ogden explored hundreds of square miles of the Humboldt’s course, left records of his trailblazing in his journal, and drafted the first map of the area.</p><p>Ogden gave the name “Unknown River” to the Humboldt at this time, as he was unsure where it went. After the death of his trapper Joseph Paul, Ogden renamed the stream Paul’s River, then Swampy River, and finally Mary’s River, after the Native American wife of one of his trappers.  In 1833 the Bonneville-Walker fur party named it Barren River.</p><p>Ogden’s or Mary’s River were commonly used names for the Humboldt prior to the 1848 publication of a map of John C. Frémont.</p><p>The Humboldt was the only natural arterial across the Great Basin.  It funneled thousands of emigrants along its valley enroute to the Pacific Coast during the period 1841-1870.</p>",Humboldt," Humboldt River Basin, Humboldt County Located on Interstate Highway 80, eight miles northeast of Winnemucca, Nevada.",41.00999,-117.34409,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
23,23,Humboldt House,<p>HISTORICAL MARKER No. 23</p><p>STATE HISTORIC PRESERVATION OFFICE</p>,http://nvshpo.org/historical-markers/23,"<p>Humboldt House or Humboldt Station was originally the point of departure for Humboldt City, Prince Royal, and the mines in that vicinity.  In September 1866, it became a stage stop for the historic William (Hill) Beachey Railroad Stage Lines.</p><p>As the Central Pacific Railhead advanced from eastern California, it reached Humboldt House in September 1868.  From 1869 to 1900, Humboldt House was well known as one of the best eating houses on the Central Pacific Railroad. It was truly an oasis in the great Nevada desert, with good water, fruit, and vegetables. The large grove of trees to the west marks the site of this famous hotel.</p><p>Between 1841 and 1857, 165,000 Americans traveled the California emigrant trail past here.  In 1850, on the dreaded Forty Mile Desert southwest of present day Lovelock, over 9,700 dead animals and 3,000 abandoned vehicles were counted.</p>",Pershing," Humboldt River Basin, Pershing County Located along Interstate Highway 80, thirty-eight miles west of Winnemucca.",40.35555,-118.15059,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
24,24,Olinghouse,"",http://nvshpo.org/historical-markers/24,"",Washoe,"Truckee River Basin, Washoe County, Nevada, south of Pyramid LakeLocated off a dirt road approximately six miles northwest of Wadsworth.",40.5014,-117.10197,2014-11-01 19:06:38 UTC,2014-11-06 14:58:36 UTC
25,25,Nevada's Capitol,<p>NEVADA CENTENNIAL MARKER No. 25</p><p>STATE HISTORIC PRESERVATION OFFICE</p><p>SPONSOR: DAUGHTERS OF THE AMERICAN COLONISTS</p>,http://nvshpo.org/historical-markers/25,"<p>Completed in 1871, Nevada’s splendid Victorian-era Capitol was built of sandstone from the quarry of the town’s founder, Abe Curry.  The octagon annex was added in 1907, the north and south wings in 1915.  Notable features are its Alaskan marble walls, French crystal windows, and elegant interior.</p>",Carson City," Carson River Basin, Carson City. Located at 101 North Carson Street, Carson City.",39.16411,-119.76645,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
26,26,Forty Mile Desert,<p>STATE HISTORICAL MARKER No. 26</p><p>STATE HISTORIC PRESERVATION OFFICE</p><p>CHURCHILL COUNTY MUSEUM COMMITTEE</p>,http://nvshpo.org/historical-markers/26,"<p>The Forty Mile Desert, beginning here, is a barren stretch of waterless alkali wasteland.  It was the most dreaded section of the California Emigrant Trail.  If possible, travelers crossed it by night because of the great heat.</p><p>In 1843, the Walker-Chiles Party became the first wagon train to use the route.  Regardless of the desert’s horrors, this became the accepted trail, as it divided five miles southwest of here into the two main routes to California - the Carson River and Truckee River trails.</p><p>Starvation and thirst preyed upon people and animals every mile.  A survey made in 1850 illustrated appalling statistics---1,061 dead mules, almost 5,000 horses, 3,750 cattle, and 953 graves.  The value of personal property loss was set at the time at $1,000,000.</p><p>The heaviest traffic occurred between 1849 and 1869.  The trail was still used after completion of the Central Pacific Railroad in 1869, although it saw declining traffic after that.</p>",Churchill," Carson and Humboldt River Basins, Churchill County, Nevada.. Located at the junction of Interstate Highway 80 and U.S. Highway 95..",39.94021,-118.75087,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
27,27,Grimes Point,<p>PREHISTORIC ROCK ART SITE</p>,http://nvshpo.org/historical-markers/27,<p>Text to be posted in near future</p>,Churchill,"Carson River Basin, Churchill County Located along U.S. Highway 50, ten miles east of Fallon, Nevada..",39.24098,-118.38836,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
28,28,Mark Twain,"<p>NEVADA CENTENNIAL MARKER NO. 28</p><p>PLACED BY</p><p>JAMES LENHOFF, 1960</p><p>EDITOR AND PUBLISHER</p><p>TERRITORIAL ENTERPRISE</p>",http://nvshpo.org/historical-markers/28,"<p>100 years ago, in 1864, Samuel Clemens left the territorial enterprise, moving on to California and worldwide fame.  He was a reporter here in 1863 when he first used the name, Mark Twain.  He later described his colorful adventures in Nevada in “Roughing It.”</p>",Storey," Carson River Basin, Storey County Located in Virginia City.",39.18363,-119.38589,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
29,29,Chinese in Nevada,<p>NEVADA CENTENNIAL MARKER No. 29</p>,http://nvshpo.org/historical-markers/29,"??<p>1864                           1964</p><p>This honors the heroism and hardihood of the thousands of Chinese Americans who played a major role in the history of Nevada.  From across the Pacific, the Chinese came to California during the Gold Rush of ′49 and on to the mountains and deserts of this state where they built railroads, cut timber, and performed countless tasks.</p><p>Sizable Chinese communities grew up in Virginia City and other towns.  Their contribution to the progress of the state in its first century will be forever remembered by all Nevadans.</p>",Washoe,"Truckee River Basin, Washoe CountyLocated at ""B"" Street and Pyramid Way in Sparks.",39.32084,-119.45207,2014-11-01 19:06:38 UTC,2014-11-06 14:58:36 UTC
30,30,Reno,<p>STATE HISTORICAL MARKER No. 30</p>,http://nvshpo.org/historical-markers/30,"<p>Before the arrival of the European Americans, the Washoe and Paiute people inhabited the Truckee Meadows.  The Stevens-Murphy emigrant party passed through the area in 1844, and settlement began in the early 1850s.  Charles William Fuller established a river ferry across the Truckee in the fall of 1859 and completed a bridge and a hotel by the spring of 1860.  Myron C. Lake acquired Fuller’s holdings in 1861, rebuilt the bridge and established Lake’s Crossing.  In 1868, Lake offered land for a depot to the Central Pacific Railroad and the town was laid out.  The community’s name honors a Civil War officer, General Jesse Lee Reno</p><p>Reno’s transcontinental railroad connection and its rail link to the Comstock Lode helped lay the foundation for the economy, as did the lumber industry and the surrounding ranches and farms</p><p>The community’s reputation as a divorce center began in 1906 and gambling was legalized in 1931.</p>",Washoe,"Truckee River Basin, Washoe CountyLocated at the intersection of South Virginia and Pine Streets in Reno.",39.31454,-119.48741,2014-11-01 19:06:38 UTC,2014-11-07 00:40:36 UTC
31,31,The Old Spanish Trail (1829-1850),<p>NEVADA STATE HISTORICAL MARKER No. 31</p>,http://nvshpo.org/historical-markers/31,"<p>Stretching for 130 miles across Clark County, this historic horse trail became Nevada’s first route of commerce in 1829 when trade was initiated between Santa Fe and Los Angeles.  The trail was later used by the wagons of the “49ers” and by Mormon pioneers.  Concrete posts marking the trail were erected in 1965.</p>",Clark," Colorado River Basin, Clark County Located on Interstate Highway 15 in Mesquite, Nevada at Stake House.",36.48244,-114.04123,2014-11-01 19:06:38 UTC,2014-11-06 15:11:57 UTC
32,32,The Old Spanish Trail (1829-1850),<p>NEVADA STATE HISTORICAL MARKER No. 32</p>,http://nvshpo.org/historical-markers/32,"<p>Stretching for 130 miles across Clark County, this historic horse trail became Nevada’s first route of commerce in 1829 when trade was initiated between Santa Fe and Los Angeles.  The trail was later used by the wagons of the “49ers” and by Mormon pioneers.  Concrete posts marking the trail were erected in 1965.</p>",Clark," Colorado River Basin, Clark County Located in Fantasy Park, 1/4 mile east of Las Vegas Boulevard North and Washington Street in Las Vegas, Nevada.",,,2014-11-01 19:06:38 UTC,2014-11-06 15:11:57 UTC
33,33,The Old Spanish Trail (1829-1850),<p>NEVADA STATE HISTORICAL MARKER No. 33</p>,http://nvshpo.org/historical-markers/33,"<p>Stretching for 130 miles across Clark County, this historic horse trail became Nevada’s first route of commerce in 1829 when trade was initiated between Santa Fe and Los Angeles.  The trail was later used by the wagons of the “49ers” and by Mormon pioneers.  Concrete posts marking the trail were erected in 1965.</p>",Clark," Colorado River Basin, Clark County Located at Town Center in Blue Diamond, Nevada.",36.0281,-115.24386,2014-11-01 19:06:38 UTC,2014-11-06 15:11:57 UTC
